id,task,model,request,response,heuristic_overall,judge_overall,human_overall
11,coding,Nemotron 3 Super,Write a Python function that returns the nth Fibonacci number using memoization.,"def fibonacci(n, memo=None):
    """"""Return the nth Fibonacci number using memoization.
    
    Args:
        n (int): The index of the Fibonacci number (0‑based).
        memo (dict, optional): Internal cache for memoization.
    
    Returns:
        int: The nth Fibonacci number.
    """"""
    if memo is None:
        memo = {0: 0, 1: 1}
    if n in memo:
        return memo[n]
    memo[n] = fibonacci(n - 1, memo) + fibonacci(n - 2, memo)
    return memo[n]",75.8,97.2,98
12,coding,Gemma 4 31B,Write a Python function that returns the nth Fibonacci number using memoization.,"```python
def fibonacci(n, memo={}):
    if n in memo:
        return memo[n]
    if n <= 1:
        return n
    
    memo[n] = fibonacci(n - 1, memo) + fibonacci(n - 2, memo)
    return memo[n]
```",71.1,92.8,90
13,coding,GPT-OSS 120B,Write a JavaScript function to debounce another function by a given delay.,"```javascript
/**
 * Creates a debounced version of the supplied function.
 *
 * The debounced function postpones its execution until after `delay` milliseconds
 * have elapsed since the last time it was invoked.
 *
 * @param {Function} fn    The function to debounce.
 * @param {number}   delay The debounce delay in milliseconds.
 * @param {Object}   [options] Optional configuration:
 *   - {boolean} leading  If true, invoke on the leading edge of the timeout.
 *   - {boolean} trailing If false, suppress the trailing‑edge call.
 *   - {Function} [maxWait] If provided, ensures the function is invoked at least
 *                          once every `maxWait` milliseconds.
 *
 * @returns {Function} A new debounced function with a `cancel` and `flush` method.
 */
function debounce(fn, delay, options = {}) {
  let timerId = null;          // ID of the pending timeout
  let lastArgs = null;         // Arguments of the most recent call
  let lastThis = null;         // `this` of the most recent call
  let lastCallTime = 0;        // Timestamp of the last call
  let maxWaitTimerId = null;   // ID for the optional max‑wait timer

  const { leading = false, trailing = true, maxWait } = options;

  // Helper: invoke the original function with the stored context/args
  const invoke = () => {
    const result = fn.apply(lastThis, lastArgs);
    // Reset state after invoking
    lastArgs = lastThis = null;
    return result;
  };

  // Clears both the regular and max‑wait timers
  const clearTimers = () => {
    if (timerId !== null) {
      clearTimeout(timerId);
      timerId = null;
    }
    if (maxWaitTimerId !== null) {
      clearTimeout(maxWaitTimerId);
      maxWaitTimerId = null;
    }
  };

  // The debounced wrapper
  const debounced = function (...args) {
    const now = Date.now();
    const isInvokingLeading = leading && timerId === null;

    // Save the latest context and arguments
    lastArgs = args;
    lastThis = this;
    lastCallTime = now;

    // If leading edge should fire immediately
    if (isInvokingLeading) {
      invoke();
    }

    // Clear any existing trailing timer
    if (timerId !== null) {
      clearTimeout(timerId);
    }

    // Set up trailing call if required
    if (trailing) {
      timerId = setTimeout(() => {
        timerId = null;
        // If leading was also true, we only want to call on trailing
        // when there have been new calls after the leading invocation.
        if (!leading || lastArgs) {
          invoke();
        }
      }, delay);
    }

    // Handle maxWait logic, if provided
    if (typeof maxWait === 'number') {
      if (maxWaitTimerId === null) {
        // First call – start the max‑wait timer
        maxWaitTimerId = setTimeout(() => {
          maxWaitTimerId = null;
          if (lastArgs) {
            // Force an invoke even if the normal debounce timer hasn't fired yet
            clearTimeout(timerId);
            timerId = null;
            invoke();
          }
        }, maxWait);
      }
    }

    // Return whatever the original function returns on leading edge,
    // otherwise undefined (standard debounce pattern)
    return isInvokingLeading ? fn.apply(lastThis, args) : undefined;
  };

  // Cancel any pending invocation
  debounced.cancel = () => {
    clearTimers();
    lastArgs = lastThis = null;
  };

  // Immediately invoke any pending trailing call
  debounced.flush = () => {
    if (timerId !== null) {
      clearTimeout(timerId);
      timerId = null;
      if (lastArgs) {
        invoke();
      }
    }
    // Also clear the max‑wait timer, if any
    if (maxWaitTimerId !== null) {
      clearTimeout(maxWaitTimerId);
      maxWaitTimerId = null;
    }
  };

  return debounced;
}

/* -------------------------------------------------
   Example usage
------------------------------------------------- */
// Function we want to debounce
function onResize(event) {
  console.log('Resized at', new Date().toISOString());
}

// Debounced version: fires 300 ms after the last resize event
const debouncedResize = debounce(onResize, 300);

// Attach to a DOM event
window.addEventListener('resize', debouncedResize);

// You can also control it manually:
debouncedResize.cancel(); // stops any pending call
debouncedResize.flush();  // forces immediate execution if waiting
```",87.2,92.9,90
14,coding,Nemotron 3 Super,Write a JavaScript function to debounce another function by a given delay.,"function debounce(fn, delay) {
  let timer;
  return function (...args) {
    clearTimeout(timer);
    timer = setTimeout(() => fn.apply(this, args), delay);
  };
}",67.7,97.2,98
15,coding,Gemma 4 31B,Write a JavaScript function to debounce another function by a given delay.,"```javascript
function debounce(func, delay) {
  let timeoutId;

  return function(...args) {
    // Clear the previous timer to reset the delay
    clearTimeout(timeoutId);

    // Set a new timer to execute the function after the delay
    timeoutId = setTimeout(() => {
      func.apply(this, args);
    }, delay);
  };
}
```",82.9,98.2,99
16,coding,GPT-OSS 120B,Explain what a race condition is and show a small example in pseudocode.,"**What is a race condition?**

A *race condition* occurs when two or more threads (or processes) access shared data concurrently, and the final outcome depends on the order in which the operations interleave. If the code does not enforce a deterministic ordering (e.g., by using locks, atomic operations, or other synchronization primitives), the program may produce incorrect, unpredictable, or nondeterministic results.

Key points:

| Aspect | Description |
|--------|-------------|
| **Shared resource** | A variable, data structure, file, hardware device, etc., that multiple threads can read/write. |
| **Concurrent access** | At least two threads perform operations on the shared resource without coordination. |
| **Non‑atomic sequence** | The operations consist of several steps (read‑modify‑write) that must happen together. |
| **Result depends on timing** | The final state varies with the relative scheduling of the threads, leading to bugs that are hard to reproduce. |
| **Typical fixes** | Mutexes/locks, semaphores, atomic primitives, message passing, thread‑local data, immutability, or redesigning to avoid shared mutable state. |

---

## Small pseudocode example

The classic illustration is two threads incrementing a shared counter:

```pseudocode
# Shared variable
counter = 0

# Function executed by each thread
function increment_counter():
    for i = 1 to 1000:
        # ---- non‑atomic critical section ----
        temp = counter      # read current value (step 1)
        temp = temp + 1     # compute new value (step 2)
        counter = temp      # write back (step 3)
        # ------------------------------------

# Main program
start_thread(increment_counter)   # Thread T1
start_thread(increment_counter)   # Thread T2
wait_for_all_threads_to_finish()

print(""Final counter value ="", counter)
```

### Why this is a race condition

* Each thread executes the three‑step *read‑modify‑write* sequence.
* The three steps are **not atomic**; the scheduler may switch between them.
* Example interleaving that produces a wrong result:

```
T1 reads counter -> temp = 0
   (switches)
T2 reads counter -> temp = 0
   (switches)
T2 updates counter -> counter = 1
   (switches)
T1 updates counter -> counter = 1   # overwrites T2's increment
```

If both threads run the loop 1000 times, the correct final value should be **2000**. Because of the race, the actual value may be anything between 1000 and 2000 (often much lower), and it changes from run to run.

### Fix with a mutex (still in pseudocode)

```pseudocode
counter = 0
mutex = new Mutex()

function increment_counter():
    for i = 1 to 1000:
        mutex.lock()
        counter = counter + 1   # now atomic w.r.t. other threads
        mutex.unlock()

# Same main program as before
```

Now the final printed value will deterministically be **2000**, because only one thread can execute the critical section at a time.",89.5,97.2,98
17,coding,Nemotron 3 Super,Explain what a race condition is and show a small example in pseudocode.,"**Race Condition**

A race condition occurs when two or more threads or processes access shared data concurrently, and the outcome of the computation depends on the particular order or timing of their execution. If the accesses are not properly synchronized, the program can produce incorrect or unpredictable results.

**Pseudocode Example**

```
shared counter = 0

Thread A:
    read counter into local
    local = local + 1
    write local to counter

Thread B:
    read counter into local
    local = local + 1
    write local to counter
```

*If both threads execute the above steps interleaved (e.g., both read the initial value 0 before either writes back), each will increment the counter to 1 and write 1, leaving the final value as 1 instead of the expected 2. This undesired result is a race condition.*",80.5,92.9,90
18,coding,Gemma 4 31B,Explain what a race condition is and show a small example in pseudocode.,"### What is a Race Condition?

A **race condition** occurs in multi-threaded or concurrent programming when two or more threads access shared data and try to change it at the same time. Because the thread scheduling algorithm can swap between threads at any moment, the final outcome depends on the specific order (the ""race"") in which the threads execute. 

This leads to unpredictable bugs where the program works correctly most of the time but fails randomly under specific timing conditions.

---

### Example: The Bank Account Problem

Imagine two threads trying to deposit money into the same bank account simultaneously. Both threads read the current balance, add to it, and write it back.

#### The Scenario:
*   **Initial Balance:** $100
*   **Thread A:** Wants to deposit $50
*   **Thread B:** Wants to deposit $50
*   **Expected Final Balance:** $200

#### Pseudocode Example:

```python
# Shared global variable
balance = 100

function deposit(amount):
    # Step 1: Read the current balance from memory
    current_balance = balance 
    
    # Step 2: Calculate the new total
    new_balance = current_balance + amount
    
    # Step 3: Write the new total back to memory
    balance = new_balance

# Simulation of two threads running concurrently
Thread A: deposit(50)
Thread B: deposit(50)
```

#### How the Race Condition Happens (The Failure Timeline):

If the threads execute interleaved, the following sequence can occur:

1.  **Thread A** reads `balance` (100).
2.  **Thread B** reads `balance` (100) $\leftarrow$ *B reads before A has updated the value.*
3.  **Thread A** calculates `100 + 50 = 150`.
4.  **Thread B** calculates `100 + 50 = 150`.
5.  **Thread A** writes `150` to `balance`.
6.  **Thread B** writes `150` to `balance`.

**Final Balance:** $150 (Incorrect)
**Expected Balance:** $200

Because Thread B read the balance before Thread A finished its update, Thread A's contribution was ""overwritten"" and lost. This is a classic race condition.",86.1,90.5,85
19,coding,GPT-OSS 120B,Write a SQL query to find the second-highest salary from an Employees table.,"```sql
SELECT
    MAX(salary) AS second_highest_salary
FROM
    Employees
WHERE
    salary < (SELECT MAX(salary) FROM Employees);
```",80.9,90.5,90
20,coding,Nemotron 3 Super,Write a SQL query to find the second-highest salary from an Employees table.,"SELECT Salary AS SecondHighestSalary
FROM Employees
ORDER BY Salary DESC
LIMIT 1 OFFSET 1;",44.6,87.5,80
21,coding,Gemma 4 31B,Write a SQL query to find the second-highest salary from an Employees table.,"```sql
SELECT MAX(Salary) AS SecondHighestSalary
FROM Employees
WHERE Salary < (SELECT MAX(Salary) FROM Employees);
```",61.7,96.5,95
22,content,GPT-OSS 120B,Write a short marketing email for a fitness app launching a 7-day free trial.,"Subject: 🎉 Unlock Your Best Self – 7‑Day FREE Trial Starts Now!

Hi [First Name],

Ready to crush your fitness goals without the guesswork? Meet **FitPulse**—the all‑in‑one app that personalizes workouts, tracks nutrition, and keeps you motivated 24/7.

**Why you’ll love FitPulse:**
- **Smart Plans:** AI‑crafted workouts that adapt as you get stronger.
- **Live Classes:** From HIIT to yoga, join certified trainers in real time.
- **Progress Tracker:** See every rep, pound, and mile in stunning graphs.
- **Community Support:** Challenge friends, earn badges, and celebrate wins together.

👉 **Start your 7‑day FREE trial today** – no credit card required. Just tap “Get Started” and dive into a world of workouts that fit YOUR schedule.

[GET MY FREE TRIAL]

After the trial, choose the plan that fits your lifestyle—starting at just $9.99/month. Cancel anytime, no hassle.

Let’s make the next 7 days the start of something amazing.

See you on the starting line,

The FitPulse Team  
💪 www.fitpulseapp.com | support@fitpulseapp.com

P.S. Activate now and receive a bonus “Kick‑Start” workout bundle—exclusively for new members!",83.3,92.9,90
23,content,Nemotron 3 Super,Write a short marketing email for a fitness app launching a 7-day free trial.,"**Subject:** 🚀 Start Your Fitness Journey – 7‑Day Free Trial Inside!  

Hi [First Name],

Ready to feel stronger, more energized, and confident in just one week? Our brand‑new fitness app is offering a **7‑day free trial**—no strings attached.

What you’ll get:
- Personalized workout plans that adapt to your goals & schedule  
- Guided video sessions from certified trainers (HIIT, yoga, strength, and more)  
- Nutrition tips & easy‑to‑follow meal suggestions  
- Progress tracking & daily motivation reminders  

**Tap the button below to claim your free week now:**  
[START MY FREE TRIAL]

After the trial, continue with a plan that fits your lifestyle—cancel anytime if it’s not for you.

Let’s make those first seven days count. See you in the app!

To your health,  
The [App Name] Team  

---  
*Having trouble? Reply to this email or visit our help center.*",85.1,92.2,90
24,content,Gemma 4 31B,Write a short marketing email for a fitness app launching a 7-day free trial.,"Subject: Ready to crush your goals? 🚀 Your 7-day free pass is here!

Hi [Name],

Stop waiting for ""Monday"" to start your fitness journey. Whether you want to build muscle, lose weight, or simply feel more energized, we’re here to help you make it happen.

We are thrilled to announce that **[App Name]** is now offering a **7-day FREE trial!**

Get full, unlimited access to:
✅ **Personalized Workout Plans** tailored to your level.
✅ **On-Demand Classes** you can do anywhere, anytime.
✅ **Nutrition Tracking** to fuel your progress.
✅ **Progress Analytics** to see your hard work pay off.

No commitments, no hidden fees—just seven days of premium fitness to show you what you're capable of.

**[Button: Start My Free Trial Now]**

Let’s get moving!

Best,

The [App Name] Team",81.7,95.5,96
25,content,GPT-OSS 120B,Write three punchy taglines for an eco-friendly water bottle.,"1. “Sip Sustainably—Nature’s Bottle, Your Habit.”  
2. “Hydrate Green, Leave No Trace.”  
3. “Pure Water, Zero Waste.”",48.3,100,100
26,content,Nemotron 3 Super,Write three punchy taglines for an eco-friendly water bottle.,"1. “Sip Smart, Save Earth.”  
2. “Every Refill is a Victory for the Planet.”  
3. “Hydrate Sustainably, Feel the Impact.”",40.9,98,99
27,content,Gemma 4 31B,Write three punchy taglines for an eco-friendly water bottle.,"1. Pure water. Zero waste.
2. Sip sustainably.
3. Better for you, best for the planet.",41.3,89.9,80
28,content,GPT-OSS 120B,Draft a LinkedIn post announcing you finished a machine learning course.,"🚀 Exciting Milestone Achieved! 🚀

I’m thrilled to share that I’ve just completed the *Machine Learning Specialization* on Coursera (offered by Stanford University). 🎓💡

🔹 **What I learned**
- Core concepts: supervised & unsupervised learning, neural networks, and deep learning
- Hands‑on experience with Python, Scikit‑learn, TensorFlow & Keras
- Real‑world projects: predictive modeling, image classification, and recommendation systems
- Model evaluation, hyper‑parameter tuning, and deployment best practices

🔹 **Why it matters**
In today’s data‑driven world, AI is reshaping every industry—from finance and healthcare to marketing and sustainability. This course sharpened my ability to turn raw data into actionable insights and build scalable, ethical ML solutions.

🔹 **Next steps**
- Apply these skills to current projects at [Your Company/Team]
- Explore advanced topics like reinforcement learning & generative AI
- Contribute to open‑source ML initiatives and collaborate with the community

A big thank you to the instructors, peers, and the vibrant online learning community for the inspiration and support throughout this journey. 🙏

If you’re curious about machine learning or have a project where AI could add value, let’s connect—I’d love to exchange ideas and explore collaborations!

#MachineLearning #ArtificialIntelligence #DataScience #ContinuousLearning #CareerGrowth #DeepLearning #AI #ProfessionalDevelopment",79.4,97.2,85
29,content,Nemotron 3 Super,Draft a LinkedIn post announcing you finished a machine learning course.,"Excited to share that I’ve just completed the **Machine Learning Specialization** by Andrew Ng on Coursera! 🎓  

Over the past weeks I dove deep into supervised and unsupervised learning, neural networks, model evaluation, and real‑world applications—gaining hands‑on experience with Python, TensorFlow, and scikit‑learn.  

A huge thank you to the instructors, mentors, and fellow learners for the insightful discussions and support. I’m eager to apply these skills to solve complex problems and drive impactful ML projects ahead.  

#MachineLearning #AI #ContinuousLearning #Coursera #ProfessionalDevelopment #DataScience #Upskilling",72.8,92.2,90
30,content,Gemma 4 31B,Draft a LinkedIn post announcing you finished a machine learning course.,"Here are three options depending on the ""vibe"" you want to project:

### Option 1: Professional & Goal-Oriented (Best for recruiters)
**Headline:** Excited to share that I’ve officially completed [Course Name]! 🎓

Over the past [Number] weeks, I’ve been diving deep into the world of Machine Learning, focusing on how to turn raw data into actionable insights. From understanding the fundamentals of supervised and unsupervised learning to implementing [mention a specific algorithm, e.g., Random Forests or Neural Networks], this journey has been incredibly rewarding.

The highlight for me was working on [mention your final project], where I [briefly explain what the project did and the result, e.g., built a model to predict housing prices with 92% accuracy].

I'm looking forward to applying these skills to solve real-world problems and continuing my growth in the AI/ML space. 🚀

#MachineLearning #DataScience #AI #ContinuousLearning #ProfessionalDevelopment #[CoursePlatform, e.g., #Coursera]

***

### Option 2: Enthusiastic & Passionate (Best for networking)
**Headline:** I just leveled up my technical toolkit! ⚡️

I’m thrilled to announce that I’ve finished [Course Name]! I’ve always been fascinated by how machine learning is reshaping industries, and getting under the hood to understand the ""how"" and ""why"" has been a game-changer.

Key takeaways from the course:
✅ [Skill 1, e.g., Feature Engineering]
✅ [Skill 2, e.g., Model Evaluation & Tuning]
✅ [Skill 3, e.g., Working with Scikit-Learn/PyTorch]

A huge thanks to [Instructor Name or Platform] for the great content. Now, it's time to put these models to work! 💻🤖

Check out my final project here: [Link to GitHub or Portfolio]

#ML #ArtificialIntelligence #Python #LearningJourney #TechCommunity #GrowthMindset

***

### Option 3: Short & Sweet (Minimalist)
**Headline:** Officially certified in Machine Learning! 📜

I just completed [Course Name] via [Platform]. It was an intense but rewarding experience learning about [mention one key topic, e.g., Deep Learning]. Ready to apply these new skills to my current and future projects!

#MachineLearning #Certification #AI #DataScience #Upskilling",82.8,91.5,90
