id,task,model,request,response,heuristic_overall,judge_overall,human_overall
11,coding,Nemotron 3 Super,Write a Python function that returns the nth Fibonacci number using memoization.,"```python
def fib(n, memo=None):
    if memo is None:
        memo = {}
    if n in memo:
        return memo[n]
    if n <= 1:
        return n
    memo[n] = fib(n - 1, memo) + fib(n - 2, memo)
    return memo[n]
```",67.8,95.5,70
12,coding,Gemma 4 31B,Write a Python function that returns the nth Fibonacci number using memoization.,"```python
def fibonacci(n, memo={}):
    if n in memo:
        return memo[n]
    if n <= 1:
        return n
    
    memo[n] = fibonacci(n - 1, memo) + fibonacci(n - 2, memo)
    return memo[n]
```",71.1,92.8,70
13,coding,GPT-OSS 120B,Write a JavaScript function to debounce another function by a given delay.,"```javascript
/**
 * Creates a debounced version of the supplied function.
 *
 * @param {Function} fn      The function to debounce.
 * @param {number}   delay   The debounce delay in milliseconds.
 * @param {boolean}  immediate (optional) If true, `fn` is invoked on the
 *                               leading edge instead of the trailing edge.
 * @returns {Function} A new function that, when called, will postpone
 *                     execution of `fn` until after `delay` ms have elapsed
 *                     since the last time it was invoked.
 */
function debounce(fn, delay, immediate = false) {
  let timeoutId = null;

  return function (...args) {
    const context = this;

    // If we want the function to fire on the leading edge,
    // call it immediately if there is no pending timeout.
    if (immediate && !timeoutId) {
      fn.apply(context, args);
    }

    // Clear any existing timer so the delay restarts.
    clearTimeout(timeoutId);

    // Set a new timer to invoke `fn` after the delay.
    timeoutId = setTimeout(() => {
      timeoutId = null; // reset for next series of calls
      // If not using leading edge, invoke on the trailing edge.
      if (!immediate) {
        fn.apply(context, args);
      }
    }, delay);
  };
}

/* -------------------------------------------------
   Example usage
---------------------------------------------------*/

// A function that we want to throttle (e.g., handling window resize)
function onResize(event) {
  console.log('Resized to', window.innerWidth, 'x', window.innerHeight);
}

// Debounced version: will run at most once 300ms after the last resize event
const debouncedResize = debounce(onResize, 300);

// Attach to an event
window.addEventListener('resize', debouncedResize);

// -------------------------------------------------
// If you prefer the function to fire on the leading edge:
//
// const debouncedResize = debounce(onResize, 300, true);
```",87.2,97.2,85
14,coding,Nemotron 3 Super,Write a JavaScript function to debounce another function by a given delay.,"```javascript
/**
 * Returns a debounced version of the given function.
 * @param {Function} func - The function to debounce.
 * @param {number} delay - The delay in milliseconds.
 * @returns {Function} A debounced function.
 */
function debounce(func, delay) {
  let timeoutId;
  return function (...args) {
    const context = this;
    clearTimeout(timeoutId);
    timeoutId = setTimeout(() => {
      func.apply(context, args);
    }, delay);
  };
}
```",88,95.5,96
15,coding,Gemma 4 31B,Write a JavaScript function to debounce another function by a given delay.,"```javascript
function debounce(func, delay) {
  let timeoutId;

  return function(...args) {
    const context = this;

    clearTimeout(timeoutId);

    timeoutId = setTimeout(() => {
      func.apply(context, args);
    }, delay);
  };
}
```",82.5,95.5,96
16,coding,GPT-OSS 120B,Explain what a race condition is and show a small example in pseudocode.,"**Race condition – what it is**

A *race condition* occurs when two (or more) concurrent threads/processes access shared mutable state without proper synchronization, and the program’s correct behavior depends on the order in which those accesses happen. Because the scheduler can interleave the operations in many different ways, the result may be nondeterministic, leading to bugs that appear only intermittently.

Typical symptoms:

* Incorrect final values (e.g., counters end up smaller than expected)
* Crashes or corrupt data structures
* Security vulnerabilities (e.g., TOCTOU – “time‑of‑check‑to‑time‑of‑use” bugs)

The core issue is that the *critical section* – the code that manipulates the shared data – is not protected, so overlapping executions “race” each other.

---

### Minimal pseudocode example

The classic illustration is a shared integer counter that several threads try to increment.

```pseudocode
// global data
counter = 0          // shared mutable state

// thread routine
function increment():
    // ----- begin critical section (but NOT synchronized) -----
    temp = counter     // 1. read current value
    temp = temp + 1    // 2. add 1
    counter = temp     // 3. write back
    // ----- end critical section --------------------------------

spawn N threads each running increment()  // e.g. N = 2
wait for all threads to finish
print(counter)
```

**Why it may fail**

Assume `counter` starts at `0` and two threads (`T1` and `T2`) run `increment()` concurrently.

| Step | What happens                                    |
|------|-------------------------------------------------|
| 1    | T1 reads `counter` → `temp = 0`                |
| 2    | T2 reads `counter` → `temp = 0`                |
| 3    | T1 computes `temp = 1`                         |
| 4    | T2 computes `temp = 1`                         |
| 5    | T1 writes `counter = 1`                         |
| 6    | T2 writes `counter = 1` (overwrites T1’s write) |

Both threads performed an increment, but the final value is `1` instead of the expected `2`. The interleaving of the three primitive steps (read‑modify‑write) created a race condition.

---

### Fix with proper synchronization (for contrast)

```pseudocode
mutex m               // binary lock, initially unlocked

function safe_increment():
    lock(m)               // acquire exclusive access
    counter = counter + 1
    unlock(m)             // release lock

spawn N threads each running safe_increment()
```

Now the critical section (`counter = counter + 1`) is executed atomically for each thread, guaranteeing that the final value equals the number of increments performed.",86.1,92.9,87
17,coding,Nemotron 3 Super,Explain what a race condition is and show a small example in pseudocode.,"**Race Condition**

A race condition occurs when two or more threads (or processes) access shared data concurrently, and the outcome of the program depends on the relative timing of their execution. If the accesses are not properly synchronized, the final state of the data can be unpredictable or incorrect.

**Why it happens**

- Multiple threads read a variable, modify it, and write it back without atomicity.
- The interleaving of read‑modify‑write steps can cause lost updates or corrupted values.

**Pseudocode Example**

```pseudo
shared counter = 0   // accessed by all threads

thread A:
    temp = counter   // read
    temp = temp + 1  // increment
    counter = temp   // write

thread B:
    temp = counter   // read
    temp = temp + 1  // increment
    counter = temp   // write
```

*Possible interleaving leading to a lost increment:*

1. A reads `counter` → `temp = 0`
2. B reads `counter` → `temp = 0` (still sees old value)
3. A increments → `temp = 1`, writes `counter = 1`
4. B increments → `temp = 1`, writes `counter = 1`

Result: `counter` ends up as **1** instead of the expected **2**, because one increment was lost.

**Fix (using a lock)**

```pseudo
lock mutex

thread A:
    lock(mutex)
    counter = counter + 1
    unlock(mutex)

thread B:
    lock(mutex)
    counter = counter + 1
    unlock(mutex)
```

Now only one thread can read‑modify‑write `counter` at a time, guaranteeing the correct final value.",82.8,97.2,98
18,coding,Gemma 4 31B,Explain what a race condition is and show a small example in pseudocode.,"### What is a Race Condition?

A **race condition** occurs in multi-threaded or concurrent programming when multiple processes or threads access and manipulate shared data at the same time. The final outcome depends on the specific order (the ""timing"") in which the threads are scheduled to run. 

If the threads execute in an unexpected sequence, the program may produce incorrect results, crash, or behave unpredictably, even though the logic seems correct in a single-threaded context.

---

### Pseudocode Example: The Bank Balance Problem

Imagine two threads attempting to deposit money into the same bank account simultaneously.

**Shared State:**
`balance = 100`

**The Logic (performed by both Thread A and Thread B):**
1. Read the current balance.
2. Add the deposit amount to that value.
3. Write the new total back to the balance.

#### The ""Race"" Scenario:
If both threads run at the exact same time, they might overlap like this:

| Time | Thread A (Deposit $50) | Thread B (Deposit $50) | Balance Value |
| :--- | :--- | :--- | :--- |
| T1 | Read balance (**100**) | | 100 |
| T2 | | Read balance (**100**) | 100 |
| T3 | Calculate 100 + 50 = **150** | | 100 |
| T4 | | Calculate 100 + 50 = **150** | 100 |
| T5 | Write balance = **150** | | 150 |
| T6 | | Write balance = **150** | **150** |

**Expected Result:** $200  
**Actual Result:** $150

**Why it happened:** Thread B read the balance *before* Thread A had finished updating it. Thread B's update effectively ""overwrote"" Thread A's contribution.

#### Pseudocode Representation:

```python
# SHARED VARIABLE
balance = 100

# FUNCTION EXECUTED BY MULTIPLE THREADS
function deposit(amount):
    # Step 1: Local copy of the current value
    current_balance = read(balance) 
    
    # Step 2: Increment local copy
    new_balance = current_balance + amount 
    
    # Step 3: Update the shared variable
    write(balance, new_balance)

# Execution:
spawn_thread(deposit(50)) # Thread A
spawn_thread(deposit(50)) # Thread B

# Final balance might be 150 instead of 200
print(balance) 
```

### How to fix it?
To prevent race conditions, programmers use **Mutual Exclusion (Mutex)** or **Locks**. This ensures that only one thread can enter the ""critical section"" of the code at a time.

**Fixed Pseudocode:**
```python
lock = Mutex()

function deposit(amount):
    lock.acquire()          # Thread waits here if another thread has the lock
    current_balance = read(balance)
    write(balance, current_balance + amount)
    lock.release()          # Now other threads can enter
```",86.1,91.2,90
19,coding,GPT-OSS 120B,Write a SQL query to find the second-highest salary from an Employees table.,"```sql
SELECT
    MAX(salary) AS second_highest_salary
FROM
    Employees
WHERE
    salary < (SELECT MAX(salary) FROM Employees);
```",80.9,92.8,80
20,coding,Nemotron 3 Super,Write a SQL query to find the second-highest salary from an Employees table.,"SELECT IFNULL((SELECT DISTINCT Salary FROM Employees ORDER BY Salary DESC LIMIT 1 OFFSET 1), NULL) AS SecondHighestSalary;",60.8,92.8,60
21,coding,Gemma 4 31B,Write a SQL query to find the second-highest salary from an Employees table.,"```sql
SELECT MAX(Salary) AS SecondHighestSalary
FROM Employees
WHERE Salary < (SELECT MAX(Salary) FROM Employees);
```",61.7,95.5,60
22,content,GPT-OSS 120B,Write a short marketing email for a fitness app launching a 7-day free trial.,"Subject: 🎉 Unlock Your Best Self – 7‑Day Free Trial Starts Now!

Hi [First Name],

Ready to turn your fitness goals into reality? For a limited time, we’re giving you **7 days of full access—absolutely FREE** to the app that makes getting fit fun, personal, and stress‑free.

**What you’ll love during your trial:**
- **Custom workouts** tailored to your level, schedule, and goals
- **Smart nutrition plans** with easy‑to‑follow recipes
- **Live classes** and on‑demand sessions from top trainers
- **Progress tracking** that turns every rep into measurable results
- **Community support** – chat, challenge, and cheer with fellow members

**How to get started in 30 seconds:**
1. Tap the button below
2. Create your free account
3. Choose your first workout and start moving!

👉 **[Start My Free Trial]**

No credit card required. Cancel anytime—no strings attached. After your 7‑day trial, you can keep the momentum going with a special 20% discount on any subscription plan, just for you.

Let’s make the next 7 days the start of a healthier, stronger you.

See you inside,
The [Your App] Team

P.S. Have a question? Reply to this email or hit our 24/7 chat. We’re here to help you crush every goal.",86.5,92.9,90
23,content,Nemotron 3 Super,Write a short marketing email for a fitness app launching a 7-day free trial.,"**Subject:** Unlock 7 Days of Free Fitness – Start Your Journey Today!

Hi [First Name],

Ready to feel stronger, healthier, and more energized? For a limited time, our brand‑new fitness app is offering a **7‑day free trial**—no credit card required.

During your trial you’ll get:
- 🏋️‍♀️ Personalized workout plans that adapt to your goals
- 🍏 Nutrition tips and easy‑to‑follow meal guides
- 📊 Real‑time progress tracking and motivating challenges
- 💬 Access to our supportive community and expert coaches

Simply tap the button below, sign up in seconds, and start moving toward the best version of yourself.

[Start My Free Trial]

After 7 days, you can choose to continue with a plan that fits your lifestyle—or cancel anytime, hassle‑free.

Let’s make fitness fun, flexible, and forever yours—starting now.

To your health,  
The [App Name] Team",82,97.2,99
24,content,Gemma 4 31B,Write a short marketing email for a fitness app launching a 7-day free trial.,"Subject: Ready to transform? Your 7-day free pass is here! 🚀

Hi [Name],

Stop waiting for ""next Monday"" to start your fitness journey. Whether you want to build lean muscle, increase your flexibility, or just feel more energized, we’re here to help you make it happen.

We are thrilled to announce that **[App Name]** is now offering a **7-day FREE trial!**

Get full, unrestricted access to:
✅ **Personalized Workout Plans** tailored to your goals.
✅ **On-Demand Classes** you can do anywhere, anytime.
✅ **Nutrition Tracking** to fuel your progress.
✅ **Progress Analytics** to see your gains in real-time.

No commitments. No excuses. Just seven days of feeling your absolute best.

**[Button: Start My Free Trial Now]**

Let’s crush those goals together.

Stay strong,

The [App Name] Team",81.8,97.2,99
25,content,GPT-OSS 120B,Write three punchy taglines for an eco-friendly water bottle.,"1. “Sip Sustainably—Pure Water, Zero Waste.”  
2. “Refresh the Planet with Every Drop.”  
3. “Eco‑Smart Hydration: Better for You, Better for Earth.”",51.4,98,50
26,content,Nemotron 3 Super,Write three punchy taglines for an eco-friendly water bottle.,"Sip sustainably, one bottle at a time.  
Refill the planet, not the landfill.  
Eco‑cool hydration for a greener you.",48.2,94,45
27,content,Gemma 4 31B,Write three punchy taglines for an eco-friendly water bottle.,"1. Pure water. Zero waste.
2. Sip sustainably.
3. Last bottle. Less plastic.",44.2,94,44
28,content,GPT-OSS 120B,Draft a LinkedIn post announcing you finished a machine learning course.,"🚀 Exciting Milestone Achieved! 🚀

I’m thrilled to share that I’ve just completed the **[Machine Learning Foundations]** course offered by **[Coursera/edX/your institution]**! 🎓✨

Throughout the program, I dived deep into:
- 📊 Data preprocessing & visualization techniques  
- 🤖 Supervised & unsupervised learning algorithms  
- 📈 Model evaluation, hyper‑parameter tuning, and cross‑validation  
- 🛠️ Hands‑on projects using Python, scikit‑learn, TensorFlow, and real‑world datasets  

A huge thank you to the amazing instructors, fellow participants, and the vibrant data‑science community for their support and insights. This journey has sharpened my analytical mindset and equipped me with practical tools to turn data into actionable intelligence.

💡 What’s next?
I’m eager to apply these skills to solve real business problems, collaborate on innovative AI projects, and continue learning advanced topics such as deep learning and reinforcement learning.

If you’re working on data‑driven initiatives or have interesting AI challenges, let’s connect! I’d love to explore how we can leverage machine learning to drive impact together.

#MachineLearning #DataScience #ContinuousLearning #AI #Python #ProfessionalGrowth #LifelongLearning",78.8,92.9,80
29,content,Nemotron 3 Super,Draft a LinkedIn post announcing you finished a machine learning course.,"Excited to share that I’ve completed the [Course Name, e.g., ""Machine Learning Specialization""] on [Platform, e.g., Coursera]!  

This deep dive strengthened my foundation in core ML concepts—supervised/unsupervised learning, model evaluation, and practical implementation using Python (scikit-learn, TensorFlow). Beyond the theory, I tackled hands-on projects that reinforced how to frame real-world problems, preprocess data effectively, and iterate toward meaningful solutions.  

Grateful for the structured learning path and eager to apply these skills to drive impact in [your field/role, e.g., ""data-driven decision-making at [Company] or upcoming ML projects""].  

If you’ve taken this course or have ML insights to share—I’d love to connect and learn from your experiences!  

#MachineLearning #DataScience #Upskilling #ContinuousLearning #AI #ProfessionalDevelopment",77.3,95.5,90
30,content,Gemma 4 31B,Draft a LinkedIn post announcing you finished a machine learning course.,"Here are three options depending on the ""vibe"" you want to project:

### Option 1: Professional & Detailed (Best for career pivoters)
**Headline:** Excited to share that I’ve officially completed [Course Name]! 🎓

Over the last [Number] weeks, I’ve been diving deep into the world of Machine Learning, moving from the theoretical foundations to building actual predictive models. 

Key takeaways from the program included:
✅ [Skill 1, e.g., Supervised vs. Unsupervised Learning]
✅ [Skill 2, e.g., Neural Networks & Deep Learning]
✅ [Skill 3, e.g., Model Evaluation and Hyperparameter Tuning]

The highlight for me was my final project where I [mention one sentence about your project, e.g., built a churn prediction model using Scikit-Learn]. It was challenging, but seeing the model achieve [mention a metric, e.g., 85% accuracy] was incredibly rewarding.

A huge thank you to [Instructor Name/Platform Name] for the great content. I’m looking forward to applying these skills to [mention your industry or a specific goal].

#MachineLearning #DataScience #AI #ContinuousLearning #Python #Upskilling

***

### Option 2: Short & Punchy (Best for experienced pros adding a skill)
**Headline:** Levelled up! 🚀

I just wrapped up [Course Name] to strengthen my understanding of Machine Learning. From understanding linear regression to exploring [Specific Topic], it's been an intense but rewarding journey.

Ready to start implementing these ML techniques to drive better data-driven decisions in my current work at [Company Name].

Check out my certificate below! 👇

#ML #ArtificialIntelligence #Learning #ProfessionalDevelopment #Tech

***

### Option 3: The ""Growth Mindset"" (Best for students/beginners)
**Headline:** Step by step. 📈

I’m thrilled to announce that I’ve completed [Course Name]! 

Coming into this, [mention a struggle, e.g., the math behind the algorithms] felt intimidating, but by sticking with the coursework and building projects, I’ve gained a new perspective on how AI can solve real-world problems.

The journey doesn't stop here—next on my list is [mention next goal, e.g., mastering PyTorch or entering a Kaggle competition].

Onwards and upwards! 💻

#NewSkills #MachineLearning #CodingJourney #GrowthMindset #STEM",79.4,90.5,80
